id,name,family,z,solvent_model,solvent,nelect,H_cplx_ox,S_cplx_ox,G_cplx_ox,r_A_ox,r_AX_ox,H_cplx_rad,S_cplx_rad,G_cplx_rad,r_A_rad,r_AX_rad,H_cplx_red,S_cplx_red,G_cplx_red,r_A_red,r_AX_red
68,mol_49,Family.APO,0,SMD,water,136,-424.628697968905,6.37141216522333E-05,-424.647694334276,4.12854210728349,5.53697065190679,-214.070439292912,6.27158281766194E-05,-214.089138017083,4.14245141032978,4.88766731944358,-214.074380852671,6.87150804278895E-05,-214.0948682539,4.13913147787968,4.82880102808682
69,mol_50,Family.APO,0,SMD,water,136,-424.631183053347,5.52129106502266E-05,-424.647644782657,4.56463442307549,4.64423066651466,-214.067551491537,6.34994854302937E-05,-214.086483863118,4.5214950639136,5.55416980174923,-214.06660392116,6.90880490183601E-05,-214.087202522974,4.56930166789311,6.53432752884912
70,mol_51,Family.APO,0,SMD,water,136,-424.631227425114,5.76808743815383E-05,-424.648424977811,4.52278219749355,4.5226708015313,-214.069475810284,6.03314462455804E-05,-214.087463630982,4.50320328075246,4.8266195401296,-214.071934252476,6.71891535830146E-05,-214.091966698616,4.48537124437374,4.62946532944216
71,mol_52,Family.APO,0,SMD,water,150,-424.632324150614,5.91233787496002E-05,-424.649951785988,4.11209485648962,4.12117717188643,-214.071392160727,6.45534369194473E-05,-214.090638767945,4.11812011069462,4.62641908570596,-214.074877257689,6.10807543025012E-05,-214.093088484584,4.11707548683883,4.62821312574569
72,mol_53,Family.APO,0,SMD,water,150,-424.631013154629,6.10743704278662E-05,-424.649222478172,4.74085710628633,4.75320141831631,-214.067346601036,6.08493931770385E-05,-214.085488847612,4.7094306174863,5.42978423183407,-214.071755635455,6.50726726992902E-05,-214.09115705282,4.67876017845047,4.64149573759386
73,mol_54,Family.APO,0,SMD,water,150,-424.63192694004,5.45322741114911E-05,-424.648185737567,4.6278277758901,4.65760182100823,-214.067183961057,6.45178872690835E-05,-214.086419969146,4.63501242032709,6.21759281678149,-214.075328265564,6.38500531248733E-05,-214.094365158903,4.65267302512454,4.67958795862202
74,mol_55,Family.APO,0,SMD,water,172,-424.629210080354,6.23154230515951E-05,-424.647789423736,4.67364359583287,6.09894434838578,-214.06644964886,7.05918788033949E-05,-214.087496617525,4.68208272363367,6.31796353676358,-214.074408290223,6.802784060462E-05,-214.094690790899,4.67280221391621,4.7285592371997
75,mol_56,Family.P5O,0,SMD,water,100,-424.629754625819,6.20825463160922E-05,-424.648264537003,3.79898649388476,5.17996302120966,-214.067143062179,6.71689755388189E-05,-214.087169492236,3.84592518447493,5.69420725572129,-214.079082006517,6.86776635586922E-05,-214.099558251907,3.87913419899393,5.56178348246243
76,mol_57,Family.P5O,0,SMD,water,94,-424.628046960334,6.49663423624148E-05,-424.64741667531,3.57153545753553,5.2611895719588,-214.067085791726,6.81530389813373E-05,-214.087405620298,3.54225655495318,5.96239938754955,-214.071887283848,6.93522320856131E-05,-214.092564651845,3.6026090312843,4.93466242136023
77,mol_58,Family.P5O,0,SMD,water,98,-424.630902025439,5.61367516819361E-05,-424.647639197953,3.66553405297637,3.95307911017348,-214.067105073475,6.79186232369835E-05,-214.087355010994,3.65238764774302,5.83457139334068,-214.07526346195,6.61425298727868E-05,-214.094983857232,3.63958325741259,5.55710835392608
78,mol_59,Family.P5O,0,SMD,water,92,-424.630459922975,5.59390272645252E-05,-424.647138143954,3.62579059550545,4.06743693958319,-214.067237823234,6.49768540145185E-05,-214.086610672259,3.62375842208835,5.63161265820501,-214.067952163973,6.61851713374232E-05,-214.087685272808,3.6459060657852,5.73178821167445
79,mol_60,Family.IIO,0,SMD,water,136,-424.629952666096,6.24822899302058E-05,-424.648581760839,4.00609484185769,4.15134781993276,-214.067580474385,6.94134740093402E-05,-214.088276101661,4.00091299486569,6.07832348084803,-214.072273819071,5.98617142057488E-05,-214.090121589161,4.01409669357379,4.67484950208956
80,mol_61,Family.P6O,0,SMD,water,120,-424.629815690653,5.62361709688928E-05,-424.646582505027,3.3092876864644,3.76940467354507,-214.065862080713,6.63485216590004E-05,-214.085643892445,3.30268482491195,5.40879417861883,-214.061894547619,6.96676892693707E-05,-214.082665969174,3.3378642983248,4.86444065173299
